foot_x,foot_y,confidence
2500.0589599609375,2054.50537109375,0.4418475329875946
1017.1717529296875,2106.603759765625,0.44083699584007263
2449.7646484375,2026.4932861328125,0.42920124530792236
1844.4376220703125,1970.886474609375,0.41956982016563416
2561.259765625,2217.89111328125,0.4095316529273987
2318.7603759765625,2046.8826904296875,0.3960505723953247
1229.3668212890625,2220.573486328125,0.386390745639801
17.915647506713867,2147.006103515625,0.38144534826278687
2682.9725341796875,1932.3275146484375,0.3606158494949341
2408.909912109375,1974.3509521484375,0.34942930936813354
1720.4373168945312,1937.5738525390625,0.31642282009124756
3519.7928466796875,151.2052764892578,0.25045162439346313
