225,1788,585674.487388704,4512506.49715393
1422,816,585676.845946115,4512456.49755416
1867,1017,585661.737151044,4512469.36728015
2768,454,585637.266209218,4512389.28821946
3099,512,585626.66668389,4512403.54145717
